Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,Loss function,Optimizer,EarlyStopPatience,Batch size,Epochs,EarlyStop At,Learning rate,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
0,True,2020-January-30 12:45,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.06795296196413758,0.24492706,0.6649094482826283,0.10492622111284504,0.30035314,0.493612575224143,,,1068.0988202095032,mse,AMSGRAD,15,128,1000,20,0.001,5,,"(171530, 17, 39)","(171530, 17)",,
1,True,2020-January-30 13:20,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.13071417957292394,0.34753358364105225,0.3803970963158503,0.12295952535010198,0.3357137143611908,0.4150686253994951,,,1916.6251714229584,mse,AMSGRAD,15,128,1000,36,0.01,5,,"(171530, 17, 39)","(171530, 17)",,
2,True,2020-January-30 13:40,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.12263656302331828,0.3358519077301025,0.4176482027150911,0.11726106293062312,0.3267646133899689,0.44072808977569056,,,1027.074137210846,mse,AMSGRAD,15,128,1000,19,0.005,5,,"(171530, 17, 39)","(171530, 17)",,
3,True,2020-January-30 14:04,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.06829525844432839,0.2458624839782715,0.663650787580567,0.10550038006583208,0.3017027676105499,0.4920568520399724,,,1240.9882185459135,mse,AMSGRAD,15,128,1000,23,0.0005,5,,"(171530, 17, 39)","(171530, 17)",,
4,True,2020-January-30 14:48,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.07643682727935411,0.2607341408729553,0.6247920122644836,0.09998180257623776,0.2950199246406555,0.5173219002942349,,,2485.7267954349522,mse,AMSGRAD,15,128,1000,47,0.0001,5,,"(171530, 17, 39)","(171530, 17)",,
7,True,2020-January-30 16:07,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.06694424732332012,0.2434159368276596,0.6698358326402782,0.10562549226631106,0.3019149899482727,0.490416139094773,,,1132.2932643890379,mse,AMSGRAD,15,32,1000,21,0.001,5,,"(171530, 17, 39)","(171530, 17)",,
8,True,2020-January-30 16:29,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.06708905512300559,0.24346962571144104,0.6688463825314758,0.10644655236829624,0.3024413287639618,0.48646181654442494,,,1133.3254263401034,mse,AMSGRAD,15,64,1000,21,0.001,5,,"(171530, 17, 39)","(171530, 17)",,
9,True,2020-January-30 16:51,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.06709883595271507,0.2437049150466919,0.6688070165279585,0.10556159439992042,0.30164921283721924,0.4921040641207981,,,1124.6687133312223,mse,AMSGRAD,15,256,1000,21,0.001,5,,"(171530, 17, 39)","(171530, 17)",,
26,True,2020-January-30 17:03,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.08034167897316942,0.2675098478794098,0.6075844147281868,0.1002647405649192,0.296038955450058,0.5157840236045219,,,549.8947060108185,mse,AMSGRAD,5,128,1000,10,0.001,5,,"(171530, 17, 39)","(171530, 17)",,
27,True,2020-January-30 17:33,ta/d_dataset_4L/prep_exp10_XL_2,inti_bilstm,0.06055916725159289,0.2311732620000839,0.6999427315391547,0.10758276190638276,0.3037461042404175,0.4808585334985625,,,1632.721232175827,mse,AMSGRAD,25,128,1000,31,0.001,5,,"(171530, 17, 39)","(171530, 17)",,
