Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
0,True,2020-April-07 10:41,ta/m_dataset_p2/prep_data_13,baseline,0.129105264,0.35313377799999995,0.4903074770000001,0.122858052,0.343760289,0.513352215,0.12277217900000001,0.343612844,0.515916977,0.385709167,0.592319568,57.78909707,26,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
1,True,2020-April-07 10:45,ta/m_dataset_p2/prep_data_13,FCNN,0.05020253400000002,0.221734827,0.80268255,0.047025434000000005,0.21472017399999999,0.8143146240000001,0.046592413,0.213655765,0.8178317270000001,0.29928657399999997,0.726842325,214.43614440000002,45,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
3,True,2020-April-07 11:10,ta/m_dataset_p2/prep_data_13,LTRCNN,0.021486382000000002,0.122860602,0.938124683,0.026155231,0.139483046,0.9185631390000001,0.025571865,0.137433824,0.9213349409999999,0.241072237,0.790600327,1187.697161,57,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
4,True,2020-April-07 11:18,ta/m_dataset_p2/prep_data_13,senet,0.009001152,0.093776216,0.963517617,0.018258482,0.13235173,0.92600842,0.018455257,0.133151978,0.925442491,0.20511971399999998,0.851234345,477.54170419999997,39,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
5,True,2020-April-07 11:24,ta/m_dataset_p2/prep_data_13,senet_em,0.011661999,0.106531874,0.953168699,0.018479865,0.133259764,0.92522051,0.018181851000000002,0.13220593,0.9267469740000001,0.19445233,0.8507961940000001,298.77736469999996,24,10,0.001,64,200,mse,Adam,,"(53069, 23, 39)","(53069, 17)",,
6,True,2020-April-07 11:26,ta/d_dataset_3/prep_data_13,baseline,0.130109022,0.35562184399999996,0.483467893,0.12182376,0.34325782200000005,0.5144594889999999,0.121881981,0.343363911,0.512149732,0.203745008,0.849660264,110.5433078,24,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
7,True,2020-April-07 11:30,ta/d_dataset_3/prep_data_13,FCNN,0.057994767,0.237965202,0.769859847,0.053484727999999995,0.228473313,0.7876764620000001,0.053515546,0.2286169210000001,0.786811293,0.4043403270000001,0.53813061,239.3417227,27,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
8,True,2020-April-07 11:51,ta/d_dataset_3/prep_data_13,bilstm,0.015723857,0.123990934,0.937365468,0.021579359,0.14442239099999998,0.91257417,0.020649223,0.141300241,0.916595536,0.256768614,0.8096137959999999,1155.9470800000001,36,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
9,True,2020-April-07 12:13,ta/d_dataset_3/prep_data_13,LTRCNN,0.027151911,0.140820008,0.918472915,0.028268802000000006,0.144080832,0.913447193,0.028557008,0.14509402400000002,0.9121180879999999,0.144901022,0.927014146,1223.2210619999996,31,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
10,True,2020-April-07 12:31,ta/d_dataset_3/prep_data_13,senet,0.010123316,0.099501089,0.959254174,0.020193118,0.139202414,0.91817745,0.020124041000000002,0.13888882800000002,0.91854254,0.11966127900000001,0.9594475029999999,1038.805973,45,10,0.001,64,200,mse,Adam,,"(99978, 23, 39)","(99978, 17)",,
