Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-March-26 16:40,ta/d_dataset_p2/prep_data_13,senet,0.023285768999999998,0.15017948,0.9091014159999999,0.022654867999999998,0.147992382,0.910664316,0.02321815,0.149796779,0.909019105,,,249.0391634,13,3,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
2,True,2020-March-26 16:49,ta/d_dataset_p2/prep_data_13,senet,0.026500807999999997,0.16050730900000001,0.89665257,0.02422152,0.153344772,0.905054707,0.024440484,0.154096597,0.904538301,,,538.266443,28,3,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
3,True,2020-March-26 16:53,ta/d_dataset_p2/prep_data_13,senet,0.022113723,0.146267738,0.9133196459999999,0.021657301,0.144495487,0.914151123,0.021159169,0.142846057,0.916736575,,,197.4459996,9,3,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
4,True,2020-March-26 20:24,ta/d_dataset_p2/prep_data_13,senet,0.022046758,0.14629962300000002,0.914244224,0.021877054,0.145501635,0.9136357540000001,0.021348142999999997,0.143841723,0.916357297,,,918.7696427999999,43,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
5,True,2020-March-26 20:35,ta/d_dataset_p2/prep_data_13,senet,0.016740181,0.127434935,0.934749651,0.019955906000000002,0.13877267699999998,0.920918908,0.020237746,0.13962016,0.9199968390000001,,,611.1191399,30,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
6,True,2020-March-26 20:43,ta/d_dataset_p2/prep_data_13,senet,0.021563514,0.14474726599999999,0.9163345190000001,0.021139296000000002,0.143184141,0.917078519,0.021312036,0.143760564,0.916895405,,,471.1021783,23,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
7,True,2020-March-26 20:50,ta/d_dataset_p2/prep_data_13,senet,0.021223835,0.14321421,0.9170245770000001,0.02173389,0.144801562,0.91404426,0.022166963999999997,0.14620386,0.9126642640000001,,,320.9937713,13,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
8,True,2020-March-26 21:04,ta/d_dataset_p2/prep_data_13,senet,0.018219011,0.133011384,0.929388057,0.019739658,0.138141557,0.922468631,0.020194322,0.139643049,0.9212341059999999,,,842.9828491000003,33,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
9,True,2020-March-26 21:15,ta/d_dataset_p2/prep_data_13,senet,0.022018355,0.146011798,0.9142772370000001,0.021030582000000003,0.142455635,0.917138482,0.02118337,0.143005709,0.916953573,,,586.9204798,25,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
10,True,2020-March-26 21:27,ta/d_dataset_p2/prep_data_13,senet,0.025764787999999997,0.158263985,0.899642115,0.023831872999999996,0.152146227,0.9063577890000001,0.023900937999999997,0.152362437,0.906766185,,,703.8033566,30,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
11,True,2020-March-26 21:38,ta/d_dataset_p2/prep_data_13,senet,0.015909331000000002,0.124396459,0.938000838,0.019779599999999998,0.138102373,0.922026802,0.020337629,0.14002184199999998,0.919981562,,,603.9553704,24,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
12,True,2020-March-26 21:54,ta/d_dataset_p2/prep_data_13,senet,0.023309922,0.150429899,0.909145822,0.021963961,0.145740051,0.913653085,0.02222044,0.146591847,0.9129517559999999,,,914.6314609,36,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
13,True,2020-March-26 22:04,ta/d_dataset_p2/prep_data_13,senet,0.017879778,0.131690446,0.93019195,0.019293400000000002,0.13653779300000002,0.9240492090000001,0.019521262,0.137363302,0.923358935,,,563.8305955,23,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
14,True,2020-March-26 22:15,ta/d_dataset_p2/prep_data_13,senet,0.020461343,0.14107240599999998,0.9203170759999999,0.020848843,0.142292972,0.917497573,0.020893968,0.142402223,0.917550333,,,593.7389705,24,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
15,True,2020-March-26 22:26,ta/d_dataset_p2/prep_data_13,senet,0.017895783000000002,0.13177736,0.930158435,0.0191775,0.135968489,0.924298773,0.019712426,0.137777904,0.9224948629999999,,,635.9414717999998,22,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
16,True,2020-March-26 22:42,ta/d_dataset_p2/prep_data_13,senet,0.018431849,0.133812983,0.928306684,0.019702768,0.138113704,0.92194236,0.019962867,0.138958563,0.921207613,,,871.0329626,30,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
17,True,2020-March-26 22:56,ta/d_dataset_p2/prep_data_13,senet,0.017497616,0.13029170199999998,0.93198759,0.019265209,0.136268967,0.924135253,0.019404436,0.136725225,0.92394149,,,819.9972084,28,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
18,True,2020-March-26 23:09,ta/d_dataset_p2/prep_data_13,senet,0.027492254,0.163514242,0.8930089990000001,0.025203941,0.156491931,0.9011825059999999,0.024767452000000002,0.15513873,0.903407892,,,687.803997,23,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
19,True,2020-March-26 23:25,ta/d_dataset_p2/prep_data_13,senet,0.015710396,0.123456889,0.938941659,0.020011848999999998,0.138970258,0.92110345,0.020198957,0.13952894400000002,0.920742693,,,903.1547662999999,18,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
20,True,2020-March-27 00:04,ta/d_dataset_p2/prep_data_13,senet,0.022253368,0.14701758199999998,0.913307222,0.020722549,0.141780105,0.9187672170000001,0.02096536,0.142603347,0.918041639,,,2225.531265,44,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
21,True,2020-March-27 00:19,ta/d_dataset_p2/prep_data_13,senet,0.01783221,0.131538274,0.93066036,0.019525027,0.137284896,0.92336044,0.019539589,0.137207088,0.92379528,,,838.2471821,27,5,0.001,64,150,mse,Adam,5,,"(102624, 24, 39)","(102624, 17)",,
