HX0,HY1,JX2,JA3,LP4,LD5,VS6,VO7,WC8,TCX9,TCY10,TTX11,TTY12,TBX13,TBY14,TRX15,TRY16,TS1,TS2,TS3,TS4,MA1,MA2,MA3
0.27,-3.72,0,-4.37,0.09,0.54,0.98,-0.1,0,-0.24,-1.5,3.5,-1.88,1.92,-0.6,-2.95,-3.23,1.25,-0.14,0.59,0.08,-0.05,-0.05,-0.05
0.42,-4.05,0,-4.5,-0.66,0.95,0.67,-0.1,0,2.45,-3,4.55,-2.06,3.02,0.51,-1.92,-1.48,0.71,0.18,0.34,-0.13,-0.05,-0.05,-0.05
0.37,-4.53,0,-4.41,-0.35,1.03,0.72,-0.1,0,2.33,-1.94,3.96,-1.25,2.94,0.4,-1.29,-1.63,0.89,0.12,0.29,-0.58,-0.05,-0.05,-0.05
1,-6,0,-4.0217,0.95,0.2233,0.5347,-0.1,0,0.4343,-0.9421,2.5891,-0.694,2.4431,0.3572,-0.3843,-2.6691,1.4,0.212,0.128,-0.05,-0.05,-0.05,-0.05
1,-5.3436,-0.25,-2.4308,-0.041,0.8251,0.4,-0.1,0,2.5295,-0.5805,4.6583,-0.8915,3.725,0.821,-0.0541,-0.928,1.116,0.119,-0.165,-0.524,0,0,0
0,-4.0694,-0.05,-4.5044,0.008,0.9384,1,0.05,0,0.3641,-1.7175,4.3351,-1.5577,2.3297,-0.3184,-2.3996,-2.7274,1.034,0.214,0.36,0.002,-0.05,-0.05,-0.05
0.3404,-5.0757,0,-5.0957,0.4382,0.4659,0.8572,-0.1,0,-0.4554,-1.8116,4.0587,-1.7142,2.4237,-1.3512,-2.014,-3.4084,-0.068,0.42,0.252,0.274,-0.05,-0.05,-0.05
0.3855,-3.8773,0,-4.4288,-0.1779,0.9528,0.7254,0.01,0,1.7277,-1.2765,4.6663,-1.4092,3.1823,0.6576,-1.7668,-1.5943,0.966,0.18,0.28,-0.672,-0.05,-0.05,-0.05
0.702,-5.2996,0,-4.0264,0.95,0.2463,0.3,-0.1,0,2.3869,-0.6672,4.5371,-1.0007,3.975,0.6917,-0.0224,-1.0465,1.226,0.046,0.128,-0.066,-0.05,-0.05,-0.05
0.5894,-5.3054,-0.05,-3.1482,-0.0644,0.6779,0.5438,-0.1,0,1.9501,-1.6542,4.6082,-0.9248,3.1525,0.5213,-0.9303,-1.6542,1.144,1.192,0.844,-0.032,-0.05,-0.05,-0.05
0.0828,-5.2489,-0.1,-4.9272,0.4879,0.4704,0.3,-0.1,0,0.2443,-2.3406,4.769,-1.3831,2.449,-0.6589,-1.9963,-2.827,0.224,0.734,1.4,0.46,-0.05,-0.05,-0.05
0.19,-4.23,-0.12,-4.36,0.04,1.31,0.96,-0.1,0,0.3,-1.71,4.15,-1.54,2.62,-0.99,-2.43,-2.78,1.2,0.02,0.61,-0.04,-0.05,-0.05,-0.05
0.63,-4.83,-0.12,-3.98,-0.12,0.35,0.79,-0.1,0,0.51,-1.09,4.18,-1.18,2.88,0.21,-1.48,-2.61,0.9,0.53,0.43,-0.07,-0.05,-0.05,-0.05
