Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Validate Loss,Validate RMSE,Validate R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,EarlyStop At,EarlyStopPatience,Learning rate,Batch size,Epochs,Loss function,Optimizer,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
1,True,2020-February-12 13:51,ta/d_dataset_t1/control_data,baseline,0.1520410643040555,0.37756792,0.2823410434851459,0.1552159047123366,0.38099304,0.26696001441099315,0.15388090734070606,0.3801765,0.2756610515632473,,,24.6798791885376,22.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
2,True,2020-February-12 13:52,ta/d_dataset_t1/control_data,FCNN,0.028013725046479043,0.16262856125831604,0.8631744385046543,0.14067425292468222,0.3576445579528809,0.3339149384556248,0.13611031131768894,0.3519987165927887,0.35370133899201983,,,50.360671758651726,19.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
3,True,2020-February-12 13:54,ta/d_dataset_t1/control_data,lstm,0.0642502620935372,0.2411399483680725,0.6861995793405317,0.11687018229987264,0.31987708806991577,0.4483048852337804,0.11364549816692986,0.31490790843963623,0.4653633918626753,,,143.01182317733762,26.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
4,True,2020-February-12 13:57,ta/d_dataset_t1/control_data,gru,0.06939964929115834,0.2515267133712769,0.6595944962170817,0.11695527588722028,0.3234848976135254,0.4477126197071381,0.11131955772161756,0.3156529366970062,0.4757360265190495,,,147.08670663833618,28.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
5,True,2020-February-12 14:01,ta/d_dataset_t1/control_data,bilstm,0.042602778225711666,0.19840282201766968,0.7878955793722959,0.1268818683449981,0.33394262194633484,0.4015774340936471,0.12284381411914345,0.32916370034217834,0.4214355737272693,,,183.53778505325317,20.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
6,True,2020-February-12 14:04,ta/d_dataset_t1/control_data,bigru,0.04684922819492274,0.2085782289505005,0.7651884582716164,0.12964813434213046,0.34248659014701843,0.3904384386690299,0.12489865929194685,0.3360908031463623,0.4111741460618733,,,182.71750569343567,21.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
7,True,2020-February-12 14:08,ta/d_dataset_t1/control_data,cnn_bilstm,0.05680550290202496,0.2275419384241104,0.7217609974789273,0.11555822140009045,0.3180427551269531,0.4531723077592511,0.11159384531048214,0.31238722801208496,0.4730234085238585,,,197.6861662864685,25.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
8,True,2020-February-12 14:12,ta/d_dataset_t1/control_data,cnn_bigru,0.06548590658988904,0.24496425688266754,0.6785259319277759,0.11346968319979756,0.3179750442504883,0.46453710376979795,0.110477500174435,0.31371408700942993,0.4777858623137606,,,196.6439027786255,26.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
9,True,2020-February-12 14:19,ta/d_dataset_t1/control_data,FCNN,0.08455199569140348,0.2756722867488861,0.5946633552418699,0.10426421815807108,0.30460265278816223,0.508286820068359,0.10046166002427014,0.2997865378856659,0.525689981947427,,,379.8557488918304,141.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
10,True,2020-February-12 14:22,ta/d_dataset_t1/control_data,lstm,0.07416558192499292,0.25678741931915283,0.6403526461707619,0.10688722067257801,0.3055109977722168,0.4942817907700864,0.10070326687743636,0.2964600026607513,0.5228192576426769,,,193.9999396800995,35.0,15.0,0.001,64,1000,mse,AMSGRAD,5,,"(28016, 24, 39)","(28016, 17)",,
